0.933,0.898,0.637,0.249
0.119,0.300,0.991,0.735
0.193,0.135,0.481,0.439
0.544,0.050,0.843,0.742
0.122,0.116,0.998,0.749
0.182,0.669,0.608,0.466
0.307,0.825,0.375,0.845
0.458,0.867,0.028,0.233
0.571,0.844,0.399,0.240
0.444,0.397,0.141,0.390
0.591,1.000,0.133,0.270
0.007,0.385,0.056,0.251
0.297,0.891,0.518,0.910
0.051,0.710,0.489,0.860
0.867,0.518,0.804,0.150
0.618,0.103,0.880,0.135
0.544,0.274,0.669,0.103
0.708,0.474,0.190,0.350
0.082,0.186,0.570,0.270
0.002,0.168,0.383,0.251
0.755,0.302,0.873,0.165
0.536,0.184,0.182,0.280
0.958,0.987,0.662,0.231
0.600,0.997,0.569,0.215
0.828,0.829,0.800,0.240
0.244,0.077,0.470,0.267
0.597,0.506,0.556,0.320
0.072,0.037,0.640,0.304
0.910,0.152,0.367,0.582
0.193,0.929,0.510,0.908
0.926,0.146,0.637,0.420
0.100,0.454,0.142,0.285
0.884,0.348,0.569,0.404
0.761,0.975,0.724,0.203
0.161,0.304,0.453,0.287
0.609,0.401,0.750,0.607
0.674,0.947,0.504,0.214
0.538,0.460,0.955,0.410
0.397,0.652,0.712,0.350
0.232,0.946,0.995,0.680




